Time, Port_1_Voltage, Port_2_Voltage
8.33333e-13, 0.011852, -2.94902e-08, 0.00269758
1.66667e-12, 0.0468461, -1.48163e-07, 0.01459
2.5e-12, 0.103323, -3.79579e-07, 0.0406374
3.33333e-12, 0.178606, -7.02951e-07, 0.0815246
4.16667e-12, 0.269126, -1.09303e-06, 0.135446
5e-12, 0.37059, -1.53161e-06, 0.199412
5.83333e-12, 0.47819, -2.00588e-06, 0.27006
6.66667e-12, 0.586824, -2.50341e-06, 0.344017
7.5e-12, 0.691342, -3.00881e-06, 0.417996
8.33333e-12, 0.786788, -3.50359e-06, 0.48877
9.16667e-12, 0.868639, -3.96843e-06, 0.553181
1e-11, 0.933013, -4.38585e-06, 0.608231
1.08333e-11, 0.976858, -4.74211e-06, 0.651254
1.16667e-11, 0.998097, -5.0275e-06, 0.680114
1.25e-11, 1, -5.24595e-06, 0.694361
1.33333e-11, 1, -5.44646e-06, 0.698782
1.41667e-11, 1, -5.66979e-06, 0.700174
1.5e-11, 1, -5.89756e-06, 0.701889
1.58333e-11, 1, -6.09279e-06, 0.704887
1.66667e-11, 1, -6.22122e-06, 0.709062
1.75e-11, 1, -6.25531e-06, 0.714052
1.83333e-11, 1, -6.17257e-06, 0.719565
1.91667e-11, 1, -5.95493e-06, 0.725384
2e-11, 1, -5.59128e-06, 0.731216
2.08333e-11, 1, -5.08258e-06, 0.736549
2.16667e-11, 1, -4.44736e-06, 0.740593
2.25e-11, 1, -3.72551e-06, 0.742348
2.33333e-11, 1, -2.97873e-06, 0.74077
2.41667e-11, 1, -2.28729e-06, 0.734999
2.5e-11, 1, -1.74345e-06, 0.724581
2.58333e-11, 1, -1.44244e-06, 0.709623
2.66667e-11, 1, -1.47256e-06, 0.690812
2.75e-11, 1, -1.90621e-06, 0.669268
2.83333e-11, 1, -2.79344e-06, 0.646275
2.91667e-11, 1, -4.15931e-06, 0.622979
3e-11, 1, -6.0047e-06, 0.600181
3.08333e-11, 1, -8.30977e-06, 0.578308
3.16667e-11, 1, -1.1038e-05, 0.557558
3.25e-11, 1, -1.414e-05, 0.538127
3.33333e-11, 1, -1.75559e-05, 0.520394
3.41667e-11, 1, -2.12185e-05, 0.50494
3.5e-11, 1, -2.5057e-05, 0.492409
3.58333e-11, 1, -2.90026e-05, 0.48328
3.66667e-11, 1, -3.29952e-05, 0.477672
3.75e-11, 1, -3.6989e-05, 0.47528
3.83333e-11, 1, -4.09559e-05, 0.475443
3.91667e-11, 1, -4.48848e-05, 0.477291
4e-11, 1, -4.8778e-05, 0.47988
4.08333e-11, 1, -5.26466e-05, 0.482284
4.16667e-11, 1, -5.65048e-05, 0.483661
4.25e-11, 1, -6.03651e-05, 0.483341
4.33333e-11, 1, -6.42341e-05, 0.480971
4.41667e-11, 1, -6.81077e-05, 0.476664
4.5e-11, 1, -7.19663e-05, 0.471072
4.58333e-11, 1, -7.57721e-05, 0.465303
4.66667e-11, 1, -7.94686e-05, 0.460668
4.75e-11, 1, -8.2985e-05, 0.45833
4.83333e-11, 1, -8.62429e-05, 0.458985
4.91667e-11, 1, -8.91658e-05, 0.46268
5e-11, 1, -9.16872e-05, 0.468814
